dim_id,name1,name2,short_name
1,people-oriented,task-oriented,Care About What
2,process-focused,output-focused,Care About How
3,systematic,Haphazard,Thinking Process
4,analytical,intuitive,Thinking Method
5,detailed,big picture,Thinking Depth
6,Imaginative,realistic,Thinking Stretch
7,certain,flexible,Deciding Certainty
8,positive,Sceptic,Deciding Optimism
9,fun,serious,Conveying Seriousness
10,Stylish,Dull,Conveting Style
11,clear,vague,Conveying Clarity
12,direct,diplomatic,Conveying Diplomacy
13,aggressive,calm,Acting Posture
14,persistent,laid back,Acting Persistence
15,Social,Individual,Social Behavior
16,Ambitious,Contended,Ambitious Scope
17,Maturity,Maturity,Maturity
18,Intelligence,Intelligence,Intelligence
19,Athletic,Athletic,Athletic
20,Attractive,Attractive,Attractive
